kind,idx,nodes,edges,components,coverage_fixed_%,pmus_fixed,coverage_reopt_%,pmus_reopt,delta_pmus,greedy_time_s,pmus_reopt_list,keeps_100%
line,0,14,19,1,100.0,5,100.0,5,0,0.001,"[0, 3, 5, 6, 8]",True
line,1,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
line,2,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
line,3,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
line,4,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
line,5,14,19,1,92.85714285714286,5,100.0,4,-1,0.0,"[1, 5, 6, 8]",False
line,6,14,19,1,100.0,5,100.0,4,-1,0.0,"[1, 5, 6, 8]",True
line,7,14,19,1,92.85714285714286,5,100.0,5,0,0.0,"[0, 3, 6, 9, 12]",False
line,8,14,19,1,92.85714285714286,5,100.0,5,0,0.0,"[0, 3, 6, 9, 12]",False
line,9,14,19,1,92.85714285714286,5,100.0,6,1,0.0,"[0, 3, 5, 6, 8, 11]",False
line,10,14,19,1,92.85714285714286,5,100.0,6,1,0.0,"[0, 3, 5, 6, 8, 9]",False
line,11,14,19,1,92.85714285714286,5,100.0,6,1,0.0,"[0, 3, 5, 6, 8, 12]",False
line,12,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
line,13,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
line,14,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
trafo,0,14,19,1,100.0,5,100.0,4,-1,0.0,"[1, 5, 6, 8]",True
trafo,1,14,19,1,100.0,5,100.0,4,-1,0.0,"[1, 5, 6, 8]",True
trafo,2,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
trafo,3,14,19,2,92.85714285714286,5,100.0,5,0,0.0,"[0, 3, 5, 7, 8]",False
trafo,4,14,19,1,100.0,5,100.0,5,0,0.0,"[0, 3, 5, 6, 8]",True
